site,date,threepeat
admin_pond,2023-04-20,0
admin_pond,2023-06-12,0
admin_pond,2023-10-06,0
phelps_pond,2022-06-03,0
phelps_pond,2023-04-05,0
phelps_pond,2023-05-11,0
phelps_pond,2023-06-12,0
phelps_pond,2023-10-07,0
rv_pond,2022-07-11,0
rv_pond,2022-09-10,0
rv_pond,2023-05-22,1
rv_pond,2023-05-23,1
rv_pond,2023-05-24,1
rv_pond,2023-06-05,1
rv_pond,2023-06-06,1
rv_pond,2023-06-07,1
rv_pond,2023-06-26,1
rv_pond,2023-06-27,1
rv_pond,2023-06-28,1
rv_pond,2023-09-16,0
rv_pond,2023-09-17,0
tryon_weber,2023-03-31,0
tryon_weber,2023-06-05,1
tryon_weber,2023-06-06,1
tryon_weber,2023-06-07,1
tryon_weber,2023-07-10,0
tryon_weber,2023-07-11,0
tryon_weber,2023-10-07,0
tuttle_pond,2022-06-14,0
tuttle_pond,2022-06-15,0
tuttle_pond,2022-07-18,0
tuttle_pond,2023-05-29,1
tuttle_pond,2023-05-30,1
tuttle_pond,2023-05-31,1
tuttle_pond,2023-06-20,1
tuttle_pond,2023-06-21,1
tuttle_pond,2023-06-22,1
tuttle_pond,2023-06-23,1
tuttle_pond,2023-09-15,1
tuttle_pond,2023-09-16,1
tuttle_pond,2023-09-17,1
vorisek_pond,2022-06-27,0
vorisek_pond,2023-05-30,1
vorisek_pond,2023-05-31,1
vorisek_pond,2023-06-01,1
vorisek_pond,2023-07-17,0
vorisek_pond,2023-07-18,0
vorisek_pond,2023-10-25,1
vorisek_pond,2023-10-26,1
vorisek_pond,2023-10-27,1
wood_lab_pond,2022-05-26,0
wood_lab_pond,2022-05-27,0
wood_lab_pond,2023-05-03,0
wood_lab_pond,2023-05-15,0
wood_lab_pond,2023-07-03,1
wood_lab_pond,2023-07-05,1
wood_lab_pond,2023-07-06,1
wood_lab_pond,2023-10-06,0
